"strength","arm","seed","rec_mean","frac_recov","c_index","n_iter"
2,"LB_tuned",4,0.682852797127104,0.75,0.898849472674976,11
2,"PCA_Cox",4,0.719879161370829,0.5,0.904122722914669,NA
2,"EBMF",4,0.937524695548065,1,0.908916586768936,4
2,"YFB_tuned",5,0.937083672821685,1,0.926786497150373,67
2,"YFB_alpha0",5,0.937276682912053,1,0.5,24
2,"LB_tuned",5,0.68603660897593,0.75,0.913634370889961,44
2,"PCA_Cox",5,0.709977800678326,0.75,0.925032880315651,NA
2,"EBMF",5,0.937178849695911,1,0.927663305567733,4
4,"YFB_tuned",1,0.927167779235545,1,0.940926476838079,93
4,"YFB_alpha0",1,0.927185244027009,1,0.5,9
4,"LB_tuned",1,0.67774085929377,0.75,0.917977050573736,60
4,"PCA_Cox",1,0.673233304556782,0.75,0.945601359966001,NA
4,"EBMF",1,0.926451166399363,1,0.942201444963876,4
4,"YFB_tuned",2,0.933484609644533,1,0.910565541429198,96
4,"YFB_alpha0",2,0.933405018485187,1,0.5,13
4,"LB_tuned",2,0.368718309725305,0.25,0.750986409469531,300
4,"PCA_Cox",2,0.688267979017756,0.75,0.873301183691363,NA
4,"EBMF",2,0.934836040763199,1,0.912319158263919,4
4,"YFB_tuned",3,0.929313699823414,1,0.932246998284734,113
4,"YFB_alpha0",3,0.929393653201607,1,0.5,12
4,"LB_tuned",3,0.672051375606676,0.75,0.846912521440823,59
4,"PCA_Cox",3,0.590292580608323,0.5,0.874785591766724,NA
4,"EBMF",3,0.353548845053021,0.25,0.648799313893654,2
4,"YFB_tuned",4,0.935315267644382,1,0.929832113646147,145
4,"YFB_alpha0",4,0.935327839428901,1,0.5,12
4,"LB_tuned",4,0.927659068188369,1,0.934567369780456,41
4,"PCA_Cox",4,0.690697333646586,0.5,0.907877744296169,NA
4,"EBMF",4,0.935807907570509,1,0.931123547137322,4
4,"YFB_tuned",5,0.935894579831869,1,0.942672413793104,99
4,"YFB_alpha0",5,0.935774654169726,1,0.5,13
4,"LB_tuned",5,0.683568668798114,0.75,0.935775862068966,31
4,"PCA_Cox",5,0.631762723772541,0.75,0.94051724137931,NA
4,"EBMF",5,0.935865621154885,1,0.942241379310345,4
