"scenario","k_setting","K_init","arm","seed","rec_shared","rec_specific","frac_shared","frac_specific","spec_acc","beta_tp_rate","beta_fp_rate","beta_shared","beta_specific","c_index","n_iter"
"all_shared","oracle_k6",6,"YFB_base",8,0.918938063318694,NA,1,NA,1,1,NA,0.136028910676522,NA,0.876195269250126,60
"all_shared","oracle_k6",6,"EBMF",8,0.76877256641142,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.811776547559134,5
"all_shared","ard_k12",12,"YFB_base",8,0.91883942974598,NA,1,NA,1,1,NA,0.136182944974881,NA,0.875188726723704,91
"all_shared","ard_k12",12,"EBMF",8,0.76877256641142,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.811776547559134,5
"all_shared","ard_k20",20,"YFB_base",8,0.918870326563607,NA,1,NA,1,0.833333333333333,NA,0.139839566313997,NA,0.875188726723704,55
"all_shared","ard_k20",20,"EBMF",8,0.76877256641142,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.811776547559134,5
"all_shared","under_k2",2,"YFB_base",9,0.270538878990497,NA,0.166666666666667,NA,0.333333333333333,0.166666666666667,NA,0.00444063390523902,NA,0.579762989972653,7
"all_shared","under_k2",2,"EBMF",9,0.270347966989863,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.586144029170465,2
"all_shared","under_k3",3,"YFB_base",9,0.450125670809824,NA,0.5,NA,0.5,0.5,NA,0.0216081129414692,NA,0.722880583409298,25
"all_shared","under_k3",3,"EBMF",9,0.414174440464607,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.687784867821331,3
"all_shared","under_k4",4,"YFB_base",9,0.618232759466571,NA,0.666666666666667,NA,0.666666666666667,0.666666666666667,NA,0.0240901384277447,NA,0.72926162260711,21
"all_shared","under_k4",4,"EBMF",9,0.610895832900352,NA,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,0.832725615314494,4
"all_shared","oracle_k6",6,"YFB_base",9,0.926037322842819,NA,1,NA,1,1,NA,0.114461279146336,NA,0.888331814038286,43
"all_shared","oracle_k6",6,"EBMF",9,0.926837833053558,NA,1,NA,1,NA,NA,NA,NA,0.887876025524157,6
"all_shared","ard_k12",12,"YFB_base",9,0.92584395574256,NA,1,NA,1,1,NA,0.116065655234522,NA,0.887420237010027,42
"all_shared","ard_k12",12,"EBMF",9,0.925417967033672,NA,1,NA,1,NA,NA,NA,NA,0.88559708295351,6
"all_shared","ard_k20",20,"YFB_base",9,0.925617888207523,NA,1,NA,1,0.833333333333333,NA,0.11082567964258,NA,0.884229717411121,23
"all_shared","ard_k20",20,"EBMF",9,0.925417967033672,NA,1,NA,1,NA,NA,NA,NA,0.88559708295351,6
"all_shared","under_k2",2,"YFB_base",10,0.255498375015697,NA,0.166666666666667,NA,0.333333333333333,0.333333333333333,NA,0.00229561938002415,NA,0.627604166666667,9
"all_shared","under_k2",2,"EBMF",10,0.255486263650342,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.646267361111111,2
"all_shared","under_k3",3,"YFB_base",10,0.416186801137196,NA,0.333333333333333,NA,0.5,0.5,NA,0.0167800792306573,NA,0.716579861111111,23
"all_shared","under_k3",3,"EBMF",10,0.416289412076044,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.713541666666667,3
"all_shared","under_k4",4,"YFB_base",10,0.575742486530051,NA,0.666666666666667,NA,0.666666666666667,0.666666666666667,NA,0.0864033812246681,NA,0.864149305555556,49
"all_shared","under_k4",4,"EBMF",10,0.416289412076044,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.713541666666667,3
"all_shared","oracle_k6",6,"YFB_base",10,0.923087979046005,NA,1,NA,1,1,NA,0.136919796381821,NA,0.885416666666667,32
"all_shared","oracle_k6",6,"EBMF",10,0.416289412076044,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.713541666666667,3
"all_shared","ard_k12",12,"YFB_base",10,0.916275735039999,NA,1,NA,1,0.666666666666667,NA,0.0647246383545518,NA,0.881510416666667,21
"all_shared","ard_k12",12,"EBMF",10,0.416289412076044,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.713541666666667,3
"all_shared","ard_k20",20,"YFB_base",10,0.92302942831408,NA,1,NA,1,1,NA,0.12706712804195,NA,0.885416666666667,90
"all_shared","ard_k20",20,"EBMF",10,0.416289412076044,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.713541666666667,3
"all_shared","under_k2",2,"YFB_base",11,0.255859049697179,NA,0.166666666666667,NA,0.333333333333333,0.333333333333333,NA,0.00369602726014277,NA,0.5246717971933,10
"all_shared","under_k2",2,"EBMF",11,0.255850457221305,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.526935264825713,2
"all_shared","under_k3",3,"YFB_base",11,0.409350757486248,NA,0.333333333333333,NA,0.5,0.333333333333333,NA,0.0112284786504647,NA,0.669533725667723,18
"all_shared","under_k3",3,"EBMF",11,0.409330629192692,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.675871435038479,3
"all_shared","under_k4",4,"YFB_base",11,0.596402940992734,NA,0.666666666666667,NA,0.666666666666667,0.666666666666667,NA,0.0291774507285836,NA,0.688999547306474,26
"all_shared","under_k4",4,"EBMF",11,0.553201096589902,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.666817564508828,4
"all_shared","oracle_k6",6,"YFB_base",11,0.928191879868366,NA,1,NA,0.833333333333333,1,NA,0.131983061674472,NA,0.832503395201449,57
"all_shared","oracle_k6",6,"EBMF",11,0.929109956407591,NA,1,NA,0.833333333333333,NA,NA,NA,NA,0.832956088727931,6
"all_shared","ard_k12",12,"YFB_base",11,0.928271304143066,NA,1,NA,0.833333333333333,1,NA,0.134557447109223,NA,0.830692621095518,94
"all_shared","ard_k12",12,"EBMF",11,0.927769843435096,NA,1,NA,0.833333333333333,NA,NA,NA,NA,0.830692621095518,6
"all_shared","ard_k20",20,"YFB_base",11,0.875160825099482,NA,1,NA,0.833333333333333,1,NA,0.118021231043727,NA,0.827976459936623,37
"all_shared","ard_k20",20,"EBMF",11,0.927769843435096,NA,1,NA,0.833333333333333,NA,NA,NA,NA,0.830692621095518,6
"all_shared","under_k2",2,"YFB_base",12,0.26157472322126,NA,0.166666666666667,NA,0.333333333333333,0.166666666666667,NA,0.00122203465225749,NA,0.54972236244321,8
"all_shared","under_k2",2,"EBMF",12,0.261584886551033,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.529530540131247,2
"all_shared","under_k3",3,"YFB_base",12,0.41733937891299,NA,0.333333333333333,NA,0.5,0.333333333333333,NA,0.0139260970954759,NA,0.687531549722362,13
"all_shared","under_k3",3,"EBMF",12,0.417339325892915,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.697627460878344,3
"all_shared","under_k4",4,"YFB_base",12,0.584963393606077,NA,0.5,NA,0.666666666666667,0.666666666666667,NA,0.0436048515312961,NA,0.775870772337203,31
"all_shared","under_k4",4,"EBMF",12,0.584740495319604,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.775870772337203,4
"all_shared","oracle_k6",6,"YFB_base",12,0.926053864217969,NA,1,NA,1,1,NA,0.123003273362061,NA,0.899040888440182,48
"all_shared","oracle_k6",6,"EBMF",12,0.926152295453126,NA,1,NA,1,NA,NA,NA,NA,0.898536092882383,6
"all_shared","ard_k12",12,"YFB_base",12,0.926121660960958,NA,1,NA,1,1,NA,0.122948364472786,NA,0.898536092882383,47
"all_shared","ard_k12",12,"EBMF",12,0.925931351430537,NA,1,NA,1,NA,NA,NA,NA,0.897526501766784,6
"all_shared","ard_k20",20,"YFB_base",12,0.894724599113353,NA,1,NA,1,0.666666666666667,NA,0.0973039860015188,NA,0.891468955073195,46
"all_shared","ard_k20",20,"EBMF",12,0.925931351430537,NA,1,NA,1,NA,NA,NA,NA,0.897526501766784,6
"all_shared","under_k2",2,"YFB_base",13,0.28800259189183,NA,0.333333333333333,NA,0.333333333333333,0.166666666666667,NA,0.00101057140021132,NA,0.590784671532847,10
"all_shared","under_k2",2,"EBMF",13,0.287942077509738,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,NA,0.587591240875912,2
"all_shared","under_k3",3,"YFB_base",13,0.454876782638624,NA,0.5,NA,0.5,0.333333333333333,NA,0.01756873628513,NA,0.538321167883212,27
"all_shared","under_k3",3,"EBMF",13,0.391939752660646,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.753193430656934,3
"all_shared","under_k4",4,"YFB_base",13,0.614326915948106,NA,0.666666666666667,NA,0.666666666666667,0.333333333333333,NA,0.0175640724407376,NA,0.546076642335766,26
"all_shared","under_k4",4,"EBMF",13,0.555361822435561,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.854470802919708,4
"all_shared","oracle_k6",6,"YFB_base",13,0.922043840264719,NA,1,NA,1,1,NA,0.13538540383822,NA,0.846715328467153,52
"all_shared","oracle_k6",6,"EBMF",13,0.738748669189635,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.851733576642336,5
"all_shared","ard_k12",12,"YFB_base",13,0.881386088288139,NA,0.833333333333333,NA,1,0.833333333333333,NA,0.0827161248010462,NA,0.835310218978102,29
"all_shared","ard_k12",12,"EBMF",13,0.738748669189635,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.851733576642336,5
"all_shared","ard_k20",20,"YFB_base",13,0.893683401597846,NA,1,NA,1,1,NA,0.107132972984755,NA,0.854470802919708,43
"all_shared","ard_k20",20,"EBMF",13,0.738748669189635,NA,0.833333333333333,NA,0.833333333333333,NA,NA,NA,NA,0.851733576642336,5
"all_shared","under_k2",2,"YFB_base",14,0.239679826535847,NA,0.166666666666667,NA,0.333333333333333,0.166666666666667,NA,0.00302954913965947,NA,0.507722007722008,6
"all_shared","under_k2",2,"EBMF",14,0.239658149826137,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.524131274131274,2
"all_shared","under_k3",3,"YFB_base",14,0.4115718347017,NA,0.333333333333333,NA,0.5,0.5,NA,0.0225607719266902,NA,0.529440154440154,33
"all_shared","under_k3",3,"EBMF",14,0.399835551393883,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.69980694980695,3
"all_shared","under_k4",4,"YFB_base",14,0.561280974844446,NA,0.5,NA,0.666666666666667,0.666666666666667,NA,0.045641981475154,NA,0.73503861003861,38
"all_shared","under_k4",4,"EBMF",14,0.565941155972652,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.732142857142857,4
"all_shared","oracle_k6",6,"YFB_base",14,0.915041715000128,NA,1,NA,1,1,NA,0.127455284235186,NA,0.887548262548262,44
"all_shared","oracle_k6",6,"EBMF",14,0.915899972570141,NA,1,NA,1,NA,NA,NA,NA,0.887065637065637,6
"all_shared","ard_k12",12,"YFB_base",14,0.914950926354191,NA,1,NA,1,1,NA,0.122311498731582,NA,0.887548262548262,48
"all_shared","ard_k12",12,"EBMF",14,0.915059236750024,NA,1,NA,1,NA,NA,NA,NA,0.886100386100386,6
"all_shared","ard_k20",20,"YFB_base",14,0.914549691063218,NA,1,NA,1,1,NA,0.122492326403642,NA,0.887065637065637,50
"all_shared","ard_k20",20,"EBMF",14,0.915059236750024,NA,1,NA,1,NA,NA,NA,NA,0.886100386100386,6
"all_shared","under_k2",2,"YFB_base",15,0.291924963055634,NA,0.333333333333333,NA,0.333333333333333,0.333333333333333,NA,0.00247791731841143,NA,0.570738137082601,12
"all_shared","under_k2",2,"EBMF",15,0.291930840720793,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,NA,0.571616871704745,2
"all_shared","under_k3",3,"YFB_base",15,0.440844129427202,NA,0.5,NA,0.5,0.5,NA,0.0602378895543731,NA,0.776362038664323,53
"all_shared","under_k3",3,"EBMF",15,0.447364295021444,NA,0.5,NA,0.5,NA,NA,NA,NA,0.653339191564148,3
"all_shared","under_k4",4,"YFB_base",15,0.59272886603951,NA,0.666666666666667,NA,0.666666666666667,0.666666666666667,NA,0.0661771521490702,NA,0.763181019332162,33
"all_shared","under_k4",4,"EBMF",15,0.597681949345035,NA,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,0.808435852372583,4
"all_shared","oracle_k6",6,"YFB_base",15,0.920445364378926,NA,1,NA,1,1,NA,0.125070550855032,NA,0.847978910369068,52
"all_shared","oracle_k6",6,"EBMF",15,0.921279843783467,NA,1,NA,1,NA,NA,NA,NA,0.850175746924429,6
"all_shared","ard_k12",12,"YFB_base",15,0.877975607868368,NA,0.833333333333333,NA,1,1,NA,0.116485347462171,NA,0.850175746924429,112
"all_shared","ard_k12",12,"EBMF",15,0.921279843783467,NA,1,NA,1,NA,NA,NA,NA,0.850175746924429,6
"all_shared","ard_k20",20,"YFB_base",15,0.92031630337985,NA,1,NA,1,1,NA,0.12124651499311,NA,0.847539543057997,33
"all_shared","ard_k20",20,"EBMF",15,0.921279843783467,NA,1,NA,1,NA,NA,NA,NA,0.850175746924429,6
"hybrid","under_k2",2,"YFB_base",1,0,0.368909881339877,0,0.25,0.333333333333333,0,0.5,0,0.00520529099176596,0.529804727646454,17
"hybrid","under_k2",2,"EBMF",1,0,0.394418366291662,0,0.25,0.166666666666667,NA,NA,NA,NA,0.569886947584789,2
"hybrid","under_k3",3,"YFB_base",1,0,0.634180829010482,0,0.5,0.5,0,0.25,0,0.00181908216649828,0.576567317574512,9
"hybrid","under_k3",3,"EBMF",1,0,0.632433477312171,0,0.5,0.5,NA,NA,NA,NA,0.514388489208633,3
"hybrid","under_k4",4,"YFB_base",1,0.80835555257396,0.465213393605109,1,0.5,0.5,1,0,0.203003706612802,5.71005946183673e-10,0.803699897225077,38
"hybrid","under_k4",4,"EBMF",1,0.332610046124726,0.694308895171291,0,0.75,0.5,NA,NA,NA,NA,0.610483042137718,4
"hybrid","oracle_k6",6,"YFB_base",1,0.909067955446227,0.927107511320195,1,1,1,1,0.25,0.208608376552567,0.00771437141837151,0.827338129496403,44
"hybrid","oracle_k6",6,"EBMF",1,0.829953630617155,0.699718827969029,1,0.75,0.666666666666667,NA,NA,NA,NA,0.807810894141829,5
"hybrid","ard_k12",12,"YFB_base",1,0.906476271195136,0.862520772588087,1,0.75,1,1,0.25,0.210453124125402,0.0062355957723892,0.830421377183967,46
"hybrid","ard_k12",12,"EBMF",1,0.829953630617155,0.699718827969029,1,0.75,0.666666666666667,NA,NA,NA,NA,0.807810894141829,5
