"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","K_init","n_iter"
18,2.25,"1.5x","YFB_cohort",2,0.878468963550094,0.941044214733159,1,1,0.25,0.153383305856718,0.00135629352526701,0.826437941473259,20,82
18,2.25,"1.5x","LB_base",2,0.862797203663179,0.703578807503792,0.833333333333333,1,0,1.06579997982673,9.62630901815364e-09,0.828960645812311,20,35
18,2.25,"1.5x","LB_cohort",2,0.898420973563125,0.9290696424365,1,1,0,0.765827590872503,7.82162090939686e-09,0.837537840565086,20,24
18,2.25,"1.5x","YFB_base",3,0.873853369638485,0.937152713280713,1,1,0.25,0.186523743452505,0.0034946197340814,0.775784753363229,20,33
18,2.25,"1.5x","YFB_cohort",3,0.892793078118611,0.921756254059685,1,1,0.5,0.205072067205414,0.00975154416117891,0.778774289985052,20,54
18,2.25,"1.5x","LB_base",3,0,0.664103756712001,0.833333333333333,0,0.25,0,0.283378256304522,0.530144494270055,20,26
18,2.25,"1.5x","YFB_base",4,0.892491203469035,0.933471139425341,1,1,0.25,0.175910568401093,0.00481424978591667,0.826131164209456,20,30
18,2.25,"1.5x","YFB_cohort",4,0.904479226388602,0.957222122194479,1,1,0.25,0.175078528177392,0.00499999669229052,0.831723436705643,20,26
18,2.25,"1.5x","LB_base",4,0.887377895801502,0.942965006879485,1,1,0,2.27110595028214,2.04096865464967e-08,0.834773767158109,20,16
18,2.25,"1.5x","LB_cohort",4,0.897425105041349,0.95068981830563,1,1,0.5,1.99454461408651,0.0118325748309531,0.832231825114387,20,26
18,2.25,"1.5x","YFB_base",5,0.907524107530516,0.924191953457538,1,1,0.25,0.191553325637424,0.00250971739690528,0.811,20,26
18,2.25,"1.5x","YFB_cohort",5,0.916714114809103,0.946466178985259,1,1,0.25,0.21568928517237,0.00112967346946479,0.805,20,24
18,2.25,"1.5x","LB_base",5,0.903303405309983,0.930212501225107,1,1,0,2.3004033799928,1.90296628896511e-09,0.8035,20,26
18,2.25,"1.5x","LB_cohort",5,0.90721623377104,0.937014915099695,1,1,0,1.85174742328365,1.27812165566847e-09,0.807,20,56
24,4,"2.0x","YFB_base",1,0.87269223252749,0.95502031277602,1,1,0.5,0.202008567370722,0.00612883977486947,0.830421377183967,20,31
24,4,"2.0x","YFB_cohort",1,0.802073856219615,0.962464120572582,1,1,0.25,0.198861446638856,0.00111188005405142,0.833504624871531,20,40
24,4,"2.0x","LB_base",1,0.864223145820787,0.961877253865409,1,1,0.25,1.19831698540436,0.052239362527123,0.830935251798561,20,19
24,4,"2.0x","LB_cohort",1,0.883576522191887,0.969481978384009,1,1,0.25,1.2805893515598,0.0409312005300405,0.834018499486125,20,52
24,4,"2.0x","YFB_base",2,0.872258548861183,0.947300533981136,1,1,0.25,0.152695892425217,0.00271330844409007,0.840565085771948,20,29
24,4,"2.0x","YFB_cohort",2,0.899906460494313,0.960801059572576,1,1,0.5,0.159427161355338,0.00568321127719853,0.842078708375378,20,52
24,4,"2.0x","LB_base",2,0,0.624154459359383,0.833333333333333,0,0,0,1.0266243636566e-08,0.520181634712412,20,37
24,4,"2.0x","LB_cohort",2,0.895712355592772,0.951342538983175,1,1,0,0.839516223649084,4.4197360579902e-09,0.835519677093845,20,17
24,4,"2.0x","YFB_base",3,0.848839421220698,0.958069608212632,1,1,0.25,0.202756464221807,0.00356663633503109,0.771798704534131,20,50
24,4,"2.0x","YFB_cohort",3,0.806289116830278,0.949589409489916,1,1,0.5,0.174327438098674,0.00777479367963199,0.779770802192327,20,57
24,4,"2.0x","LB_base",3,0.833164003444341,0.956944406964158,1,1,0.25,1.64206835461404,0.000736584585274538,0.770303936223219,20,17
24,4,"2.0x","LB_cohort",3,0,0,0.333333333333333,0,0,0,0,0.5,20,25
24,4,"2.0x","YFB_base",4,0.871674825109221,0.961580325514675,1,1,0.5,0.174479360350465,0.00528233985483069,0.826131164209456,20,38
24,4,"2.0x","YFB_cohort",4,0.884934229525427,0.968955114898957,1,1,0.25,0.171396423197291,0.00476841671712217,0.829689883070666,20,24
24,4,"2.0x","LB_base",4,0.855506623363078,0.949863169543455,1,1,0,2.00004686452827,6.11677667130101e-09,0.832231825114387,20,22
24,4,"2.0x","LB_cohort",4,0.248191062591948,0.708144310764408,0.833333333333333,0,0,3.38541341877939e-08,1.32591364485006e-08,0.555668530757499,20,74
24,4,"2.0x","YFB_base",5,0.889423230571841,0.934457421202817,1,1,0.25,0.191206691799138,0.00308544204286421,0.8155,20,23
24,4,"2.0x","YFB_cohort",5,0.901447559472026,0.95954270626111,1,1,0.25,0.201603716466889,0.00231756321642953,0.809,20,28
24,4,"2.0x","LB_base",5,0,0.932485252051178,1,0,0,0,1.10012540666796e-08,0.5425,20,17
24,4,"2.0x","LB_cohort",5,0,0,0.333333333333333,0,0,0,0,0.5,20,76
36,9,"3.0x","YFB_base",1,0.840685706918366,0.966621090497288,1,1,0.25,0.205992277703625,0.00377211976870237,0.834532374100719,20,31
36,9,"3.0x","YFB_cohort",1,0.861584930854343,0.981884152586103,1,1,0.25,0.217491769064765,0.000731790140788901,0.832990750256937,20,77
36,9,"3.0x","LB_base",1,0.401418837170265,0.971770454213108,1,0.5,0.25,6.76198768265848,0.0796194668298859,0.55344295991778,20,27
36,9,"3.0x","LB_cohort",1,0.328322356614785,0.978619342869386,1,0,0,1.30856486145563e-09,2.3942925409758e-08,0.541109969167523,20,44
36,9,"3.0x","YFB_base",2,0.829598311105274,0.961856164555908,1,1,0.5,0.15787593196722,0.00615906582251243,0.837537840565086,20,41
36,9,"3.0x","YFB_cohort",2,0.880433879530311,0.975569747011597,1,1,0.5,0.158043665263061,0.0057830520316888,0.843087790110999,20,55
36,9,"3.0x","LB_base",2,0,0.953369711674908,1,0,0,0,1.92407119810822e-08,0.506054490413724,20,79
36,9,"3.0x","LB_cohort",2,0.866317591249366,0.972623426284059,1,1,0,0.914596222917812,2.45548755711221e-09,0.841574167507568,20,36
36,9,"3.0x","YFB_base",3,0.803421762751921,0.92648743487916,1,1,0.25,0.209388831543204,0.00281430229295827,0.761335326357748,20,57
36,9,"3.0x","YFB_cohort",3,0.851417432447489,0.950064829039031,1,1,0.5,0.207103743129423,0.00613930165609226,0.776781265570503,20,66
36,9,"3.0x","LB_base",3,0.763128518793181,0.967217460755487,1,1,0,1.70514457832418,1.36226875906678e-08,0.769307424015944,20,27
36,9,"3.0x","LB_cohort",3,0.414038494031639,0.974048346625984,1,0.5,0.25,3.73400938185606,0.000467792070800589,0.590931738913802,20,37
36,9,"3.0x","YFB_base",4,0.814541353353862,0.970510774165265,1,1,0.5,0.174193921809775,0.00561472082318271,0.816471784443315,20,26
36,9,"3.0x","YFB_cohort",4,0.846089084078797,0.972741916414373,1,1,0.75,0.172147737952735,0.00622894724155131,0.826131164209456,20,40
36,9,"3.0x","LB_base",4,0.787973646384422,0.967645125534753,1,1,0,2.0351410220284,1.42637190679187e-08,0.831723436705643,20,43
36,9,"3.0x","LB_cohort",4,0.417176459750229,0.976737473195893,1,0.5,0.5,0.481079673761257,0.0247287788207,0.714285714285714,20,128
36,9,"3.0x","YFB_base",5,0.85201322825966,0.967069353430999,1,1,0.5,0.197515019937229,0.00499973182634741,0.8155,20,27
36,9,"3.0x","YFB_cohort",5,0.880879410493275,0.971620217472014,1,1,0,0.211231423576864,1.21005776203426e-10,0.809,20,53
36,9,"3.0x","LB_base",5,0.828709847532253,0.963395125075117,1,1,0,1.72302826276549,1.32087458704749e-09,0.808,20,22
36,9,"3.0x","LB_cohort",5,0.865802971675861,0.971567206891424,1,1,0,1.36793068715251,6.96839430950711e-10,0.8055,20,42
48,16,"4.0x","YFB_base",1,0.797030301484563,0.935654196340108,1,1,0,0.208718722133713,0.000102348456387846,0.829393627954779,20,55
48,16,"4.0x","YFB_cohort",1,0.849241041855984,0.972107151064852,1,1,0.25,0.211406461391218,0.0016226812021764,0.835560123329907,20,76
48,16,"4.0x","LB_base",1,0.762502389261932,0.975304072934132,1,1,0.25,1.62258058355275,0.0322437158698067,0.829907502569373,20,18
