"a_specific","var_ratio","ratio_label","arm","seed","rec_shared","rec_specific","spec_acc","beta_tp_rate","beta_fp_rate","mean_abs_shared","mean_abs_specific","c_index","n_iter"
18,2.25,"1.5x","LB_cohort",5,0.907981214065339,0.651764264844399,0.833333333333333,1,0,0.950046318860207,1.2336061683979e-09,0.8125,26
24,4,"2.0x","YFB_base",1,0.874336022680193,0.965838789568162,1,1,0.5,0.176939247099878,0.0058045109426272,0.830935251798561,15
24,4,"2.0x","YFB_cohort",1,0.884569191883583,0.973820925060164,1,1,0.25,0.151478442134042,0.0039003200357607,0.824768756423433,12
24,4,"2.0x","LB_base",1,0.427389409913793,0.961766520390893,1,0.5,0.5,0.289514095030712,0.076079555969887,0.575539568345324,14
24,4,"2.0x","LB_cohort",1,0.431678552380181,0.720477220831382,0.833333333333333,0.5,0.5,0.270027635269981,0.0578954556022478,0.59917780061665,17
24,4,"2.0x","YFB_base",2,0.875206477001832,0.947367444066226,1,1,0.25,0.126377020586972,0.00201745465425913,0.840565085771948,10
24,4,"2.0x","YFB_cohort",2,0.891604762986363,0.960815230321279,1,1,0,0.128344469097745,1.207133776176e-09,0.834510595358224,13
24,4,"2.0x","LB_base",2,0,0.23820344454191,0.666666666666667,0,0,0,4.23283786054291e-09,0.529263370332997,16
24,4,"2.0x","LB_cohort",2,0.363036281289419,0.952620651954982,1,0.5,0.25,0.0287768817432439,0.00654588853772792,0.538849646821393,42
24,4,"2.0x","YFB_base",3,0.853023471776574,0.961665808807593,1,1,0.5,0.158933053261432,0.00618083842619877,0.758345789735924,19
24,4,"2.0x","YFB_cohort",3,0.87961406376315,0.967724790140446,1,1,0.5,0.162780771262607,0.00790943718531426,0.760338814150473,25
24,4,"2.0x","LB_base",3,0.4247841146724,0.956796547691638,1,0.5,0.25,0.226014463412899,0.0124810050409843,0.561036372695565,10
24,4,"2.0x","LB_cohort",3,0.427285292177854,0.962033819753004,1,0.5,0.25,0.219195437747035,0.0152100145306315,0.602391629297459,19
24,4,"2.0x","YFB_base",4,0.871958676449089,0.96137121576744,1,1,0.25,0.154503198985051,0.00418589987456628,0.828164717844433,13
24,4,"2.0x","YFB_cohort",4,0.884580832837943,0.969507835167375,1,1,0.25,0.172918047234894,0.00491250389541233,0.83019827147941,40
24,4,"2.0x","LB_base",4,0.85650574956541,0.957344958441934,1,1,0,2.35102984855668,1.29502284949161e-08,0.835790543975597,16
24,4,"2.0x","LB_cohort",4,0.404049817685916,0.958497636749282,1,0.5,0.25,0.26668368576313,0.0148722142414528,0.56532791052364,25
24,4,"2.0x","YFB_base",5,0.890925425375329,0.955137265228893,1,1,0.5,0.166817087036037,0.00468748494866687,0.808,12
24,4,"2.0x","YFB_cohort",5,0.903228826169749,0.962034239327513,1,1,0.25,0.208761581079149,0.00221816164451523,0.8095,43
24,4,"2.0x","LB_base",5,0.442534175132252,0.939461312691099,1,0.5,0.5,2.62978637293988,0.62585126195525,0.7465,120
24,4,"2.0x","LB_cohort",5,0.445458776090181,0.943216612453977,1,0.5,0.5,0.389026663815463,0.0586364196626624,0.73,71
36,9,"3.0x","YFB_base",1,0.839239617995033,0.97444277344278,1,1,0.5,0.167833160926142,0.00617236271139285,0.824768756423433,20
36,9,"3.0x","YFB_cohort",1,0.861983788888936,0.981774507494612,1,1,0.25,0.0758524949156533,0.00485129337978217,0.806269270298047,11
36,9,"3.0x","LB_base",1,0.815115930976663,0.971929511094918,1,1,0.25,1.388383477874,0.0394669949017444,0.829907502569373,10
36,9,"3.0x","LB_cohort",1,0.84463706109334,0.980156512343985,1,1,0.25,1.37732044607549,0.0230784305553705,0.836073997944502,14
36,9,"3.0x","YFB_base",2,0.831071611284006,0.96209337517204,1,1,0.25,0.124338388149267,0.0018822179460479,0.841069626639758,12
36,9,"3.0x","YFB_cohort",2,0.874344753381621,0.975072071070075,1,1,0,0.109188638421776,1.29135245631886e-09,0.820383451059536,14
36,9,"3.0x","LB_base",2,0.366895514618968,0.958269610396931,1,0.5,0.25,0.0524599255723667,0.000292851847916833,0.549949545913219,15
36,9,"3.0x","LB_cohort",2,0.341226754844941,0.972356572897347,1,0.5,0,0.010770475511413,2.92753686437463e-09,0.524722502522704,19
36,9,"3.0x","YFB_base",3,0.799456138378193,0.969976182220172,1,1,0.25,0.157632951918907,0.00139666999791316,0.760338814150473,18
36,9,"3.0x","YFB_cohort",3,0.849943358114268,0.976910584451665,1,1,0.5,0.153604171036692,0.00591202579908245,0.759342301943199,26
36,9,"3.0x","LB_base",3,0.636382718446291,0.96720042727024,0.833333333333333,1,0,0.490318205714642,2.01750837237471e-08,0.740408570004983,10
36,9,"3.0x","LB_cohort",3,0.413219866731237,0.97395570937801,1,0.5,0,0.234410295287099,4.76315683420167e-08,0.598903836571998,19
36,9,"3.0x","YFB_base",4,0.814766842251131,0.970456034918966,1,1,0.75,0.147733014423689,0.004336706721528,0.83019827147941,13
36,9,"3.0x","YFB_cohort",4,0.843944600275039,0.978364749218778,1,1,0.5,0.128484720495765,0.00495031042675359,0.830706659888155,13
36,9,"3.0x","LB_base",4,0.369089517568829,0.967331776376261,1,0.5,0,0.215216702361818,6.69584354710734e-09,0.510930350788002,28
